iter	Passed	Remaining
0	52	71290
1	65	44206
2	77	34888
3	88	29906
4	100	26996
5	112	25088
6	122	23523
7	133	22371
8	142	21176
9	152	20441
10	161	19663
11	171	19114
12	181	18662
13	191	18302
14	206	18340
15	215	17985
16	224	17627
17	234	17355
18	245	17177
19	254	16945
20	265	16782
21	283	17137
22	305	17616
23	343	18977
24	375	19910
25	389	19833
26	402	19737
27	415	19627
28	427	19459
29	439	19342
30	453	19275
31	465	19180
32	478	19114
33	491	19010
34	505	19002
35	518	18909
36	529	18799
37	541	18703
38	553	18599
39	562	18428
40	572	18269
41	582	18155
42	592	18019
43	602	17889
44	612	17772
45	624	17690
46	633	17560
47	643	17442
48	657	17463
49	673	17510
50	686	17475
51	700	17496
52	713	17452
53	725	17419
54	739	17405
55	751	17356
56	763	17329
57	774	17262
58	784	17156
59	792	17047
60	801	16945
61	811	16850
62	820	16767
63	829	16676
64	838	16583
65	849	16518
66	858	16439
67	867	16363
68	878	16317
69	887	16234
70	897	16163
71	907	16109
72	916	16029
73	925	15959
74	934	15885
75	944	15832
76	953	15768
77	962	15702
78	972	15643
79	981	15584
80	990	15521
81	999	15460
82	1008	15401
83	1018	15344
84	1027	15295
85	1036	15231
86	1045	15179
87	1055	15129
88	1065	15100
89	1086	15211
90	1101	15235
91	1124	15382
92	1139	15400
93	1154	15423
94	1166	15414
95	1179	15403
96	1193	15412
97	1204	15388
98	1215	15353
99	1224	15304
100	1233	15251
101	1242	15206
102	1252	15162
103	1262	15122
104	1271	15075
105	1282	15046
106	1292	15012
107	1301	14972
108	1311	14932
109	1321	14892
110	1331	14860
111	1341	14827
112	1351	14790
113	1360	14752
114	1370	14715
115	1380	14686
116	1390	14653
117	1400	14621
118	1409	14584
119	1419	14550
120	1429	14517
121	1438	14479
122	1448	14452
123	1457	14410
124	1466	14374
125	1476	14343
126	1485	14309
127	1495	14280
128	1505	14253
129	1515	14222
130	1525	14195
131	1534	14163
132	1544	14131
133	1553	14101
134	1563	14070
135	1573	14043
136	1583	14016
137	1592	13988
138	1602	13958
139	1611	13930
140	1622	13909
141	1632	13883
142	1641	13858
143	1650	13827
144	1660	13796
145	1668	13758
146	1677	13732
147	1689	13718
148	1699	13698
149	1711	13688
150	1721	13667
151	1732	13652
152	1743	13641
153	1755	13630
154	1766	13616
155	1776	13599
156	1787	13585
157	1797	13561
158	1807	13537
159	1816	13509
160	1826	13489
161	1838	13482
162	1847	13455
163	1857	13430
164	1867	13409
165	1878	13394
166	1889	13387
167	1904	13400
168	1921	13429
169	1934	13429
170	1958	13500
171	1969	13490
172	1980	13474
173	1995	13486
174	2009	13490
175	2021	13483
176	2034	13481
177	2043	13455
178	2053	13435
179	2063	13413
180	2072	13387
181	2082	13366
182	2092	13346
183	2102	13325
184	2112	13301
185	2122	13282
186	2132	13260
187	2141	13233
188	2150	13208
189	2159	13182
190	2168	13157
191	2177	13133
192	2187	13110
193	2196	13087
194	2205	13064
195	2215	13043
196	2225	13024
197	2234	13002
198	2244	12983
199	2254	12960
200	2263	12936
201	2272	12913
202	2283	12902
203	2293	12882
204	2303	12865
205	2313	12848
206	2325	12839
207	2334	12818
208	2345	12802
209	2355	12785
210	2364	12762
211	2374	12744
212	2383	12723
213	2391	12697
214	2401	12675
215	2411	12658
