iter	Passed	Remaining
0	213	252175
1	359	211684
2	555	217759
3	755	222150
4	945	222184
5	1125	220235
6	1535	257297
7	1754	257051
8	1941	252645
9	2089	244457
10	2258	240033
11	2467	240132
12	2595	232992
13	2809	234022
14	3015	234228
15	3272	238063
16	3424	234303
17	3591	231880
18	3798	232085
19	3995	231745
20	4200	231807
21	4385	230838
22	4573	230053
23	4746	228640
24	4946	228514
25	5129	227684
26	5336	227887
27	5487	225767
28	5687	225729
29	5888	225727
30	6084	225524
31	6255	224406
32	6455	224360
33	6649	224143
34	6825	223300
35	7004	222582
36	7184	221939
37	7382	221855
38	7594	222176
39	7786	221928
40	7987	221910
41	8193	222013
42	8390	221863
43	8579	221503
44	8793	221779
45	8980	221381
46	9175	221193
47	9372	221045
48	9592	221411
49	9796	221403
50	10004	221468
51	10222	221739
52	10416	221503
53	10597	220978
54	10813	221195
55	11015	221090
56	11176	220201
57	11388	220311
58	11585	220133
59	11761	219541
60	11965	219496
61	12165	219375
62	12372	219363
63	12557	218979
64	12774	219124
65	12980	219091
66	13169	218775
67	13379	218795
68	13564	218410
69	13757	218157
70	13971	218229
71	14177	218177
72	14358	217731
73	14583	217958
74	14792	217945
75	14998	217874
76	15191	217608
77	15387	217401
78	15599	217404
79	15815	217457
80	15992	216983
81	16187	216756
82	16369	216352
83	16570	216211
84	16776	216116
85	16973	215915
86	17163	215622
87	17389	215785
88	17599	215737
89	17814	215759
90	17983	215212
91	18172	214907
92	18388	214930
93	18592	214797
94	18799	214707
95	19026	214845
96	19240	214821
97	19442	214663
98	19665	214730
99	19866	214561
100	20074	214456
101	20262	214148
102	20443	213766
103	20660	213753
104	20873	213702
105	21080	213590
106	21283	213431
107	21480	213214
108	21698	213207
109	21927	213293
110	22142	213246
111	22358	213208
112	22561	213032
113	22746	212700
114	22967	212696
115	23189	212702
116	23401	212610
117	23607	212467
118	23832	212492
119	24045	212401
120	24246	212204
121	24450	212035
122	24670	212003
123	24855	211668
124	25057	211488
125	25279	211461
126	25494	211387
127	25703	211250
128	25917	211159
129	26134	211087
130	26344	210956
131	26536	210687
132	26752	210603
133	26965	210494
134	27179	210391
135	27392	210277
136	27602	210141
137	27813	210013
138	28018	209839
139	28240	209789
140	28448	209630
141	28670	209578
142	28875	209400
143	29074	209172
144	29284	209030
145	29498	208917
146	29710	208785
147	29915	208602
148	30133	208505
149	30347	208384
150	30571	208330
151	30792	208256
152	31005	208122
153	31219	207992
154	31425	207813
155	31641	207700
156	31841	207478
157	32050	207316
158	32217	206881
159	32415	206648
160	32629	206517
161	32829	206301
162	33051	206219
163	33260	206050
164	33478	205944
165	33691	205801
166	33897	205616
167	34096	205392
168	34314	205278
169	34532	205160
170	34741	204998
171	34947	204805
172	35155	204634
173	35364	204463
174	35587	204376
175	35807	204263
176	36018	204103
177	36236	203982
178	36452	203846
179	36652	203622
180	36873	203516
181	37091	203393
182	37310	203270
183	37527	203137
184	37737	202969
185	37960	202866
186	38167	202675
187	38370	202465
188	38579	202289
189	38796	202148
190	38996	201925
191	39204	201739
192	39417	201582
193	39631	201425
194	39842	201257
195	40059	201115
196	40279	200989
197	40501	200870
198	40716	200719
199	40921	200516
200	41138	200371
201	41365	200273
202	41584	200140
203	41780	199890
204	41973	199632
205	42185	199460
206	42397	199287
207	42610	199121
208	42828	198976
209	43044	198822
210	43270	198714
211	43495	198603
212	43698	198387
