iter	MAE
0	0.1460021374
1	0.1458891772
2	0.1457836073
3	0.1456887297
4	0.1455843101
5	0.1454853422
6	0.1453855807
7	0.1452749249
8	0.1451722614
9	0.1450619676
10	0.1449539585
11	0.1448478892
12	0.1447500385
13	0.1446382891
14	0.1445405214
15	0.1444354904
16	0.1443295188
17	0.1442221046
18	0.1441236257
19	0.1440159491
20	0.1439096964
21	0.1438014439
22	0.143711594
23	0.1436274907
24	0.143522704
25	0.1434166491
26	0.1433128717
27	0.1432039786
28	0.1431245185
29	0.143024352
30	0.1429247885
31	0.1428251907
32	0.1427390072
33	0.1426341436
34	0.142528016
35	0.1424369981
36	0.1423495115
37	0.1422685973
38	0.1421678481
39	0.1420625545
40	0.1419621853
41	0.1418577597
42	0.1417487345
43	0.1416665371
44	0.1415623908
45	0.1414524441
46	0.1413527357
47	0.1412474261
48	0.141148583
49	0.141047551
50	0.1409469886
51	0.1408453703
52	0.1407456199
53	0.1406600802
54	0.1405653882
55	0.1404683632
56	0.1403648318
57	0.1402655786
58	0.1401764386
59	0.1400818175
60	0.1399867706
61	0.139883937
62	0.1397846996
63	0.1396841478
64	0.1395822637
65	0.1394867104
66	0.1393880707
67	0.1393017961
68	0.1392096806
69	0.1391210321
70	0.1390248182
71	0.1389173821
72	0.1388212027
73	0.1387181104
74	0.138621814
75	0.1385295865
76	0.1384268644
77	0.1383322626
78	0.1382351792
79	0.1381424346
80	0.1380427179
81	0.1379388428
82	0.1378382016
83	0.1377381412
84	0.1376423392
85	0.1375455309
86	0.137446177
87	0.1373427343
88	0.1372661983
89	0.1371691981
90	0.1370640188
91	0.1369834979
92	0.1368921186
93	0.1368002923
94	0.1367053966
95	0.1366077755
96	0.1365128188
97	0.1364123312
98	0.1363139231
99	0.1362265248
100	0.1361265057
101	0.1360346584
102	0.1359396219
103	0.1358789201
104	0.1357776662
105	0.1356874371
106	0.1355848762
107	0.1354794731
108	0.1353793116
109	0.1352747924
110	0.1351924497
111	0.1350983573
112	0.1350111812
113	0.1349120875
114	0.1348165053
115	0.1347261009
116	0.1346326697
117	0.134538286
118	0.1344543244
119	0.1343817345
120	0.1342901833
121	0.1342015556
122	0.1341206215
123	0.1340282692
124	0.1339302438
125	0.1338292245
126	0.1337408463
127	0.1336423128
128	0.1335447836
129	0.1334567635
130	0.1333617672
131	0.1332902956
132	0.1332017273
133	0.1331263276
134	0.1330280901
135	0.1329354253
136	0.1328364518
137	0.132744015
138	0.1326432459
139	0.1326340532
140	0.1325479563
141	0.1324494391
142	0.1323510654
143	0.1322545179
144	0.1321604031
145	0.1320682862
146	0.1319807485
147	0.1318906902
148	0.1318003313
149	0.1317113389
150	0.1316112841
151	0.1315193048
152	0.1314603425
153	0.1313699337
154	0.13128592
155	0.1311938962
156	0.1311087956
157	0.131017034
158	0.1309287304
159	0.1308534555
160	0.130765581
161	0.1306995397
162	0.1306293022
163	0.1305423658
164	0.1304599608
165	0.1303751286
166	0.1303006565
167	0.1302116757
168	0.130114382
169	0.1300260083
170	0.1299412465
171	0.1298470645
172	0.1297564954
173	0.1296653413
174	0.1295820091
175	0.1294917326
176	0.1294005742
177	0.1293159058
178	0.1292288077
179	0.1291346673
180	0.1290614289
181	0.1289858676
182	0.128914059
183	0.128825743
184	0.128756156
185	0.1286742817
186	0.1285889769
187	0.1285136816
188	0.1284299419
189	0.1283567657
190	0.1282798015
191	0.128192877
192	0.1281027207
193	0.1280142373
194	0.127953911
195	0.1278562528
196	0.1277784806
197	0.1276921418
198	0.127603573
199	0.1275263101
200	0.1274358575
201	0.1273401733
202	0.1272848645
203	0.1272008299
204	0.1271315117
205	0.1270453067
206	0.1269653839
207	0.1268863332
208	0.1268067404
209	0.1267176345
210	0.1266329391
211	0.1265463431
212	0.1264578761
213	0.1263689525
214	0.1262826759
215	0.1261951241
216	0.1261050384
217	0.1260300478
218	0.1259539871
219	0.125874243
220	0.1257860337
221	0.1257048415
222	0.1256283788
223	0.1255384518
224	0.1254469095
225	0.1253614564
226	0.125276505
227	0.1251950828
228	0.1251009319
229	0.1250281696
230	0.1249389121
231	0.1248542301
232	0.1247616718
233	0.1246988417
234	0.1246276402
235	0.1245337698
236	0.1244489375
237	0.12435883
238	0.1242769825
239	0.1241969696
240	0.1241130733
241	0.1240345576
242	0.123949834
243	0.1238694952
244	0.1238040282
245	0.123719682
246	0.1236477859
247	0.1235660739
248	0.1234817905
249	0.1234046903
250	0.1233219801
251	0.1232514735
252	0.1231644832
253	0.1230750751
254	0.122990922
255	0.1229120241
256	0.1228356308
257	0.122761681
258	0.1226821577
259	0.1225917731
260	0.1225209833
261	0.122432362
262	0.1223449966
263	0.1222530937
264	0.1221729129
265	0.1220855218
266	0.1220033138
267	0.121918146
268	0.121846348
269	0.1217653825
270	0.1216891869
271	0.1216024243
272	0.1215288877
273	0.1214469067
274	0.1213607054
275	0.1212822214
276	0.1212092414
277	0.1211267479
278	0.1210475853
279	0.120965398
280	0.1208867773
281	0.1208076888
282	0.120728899
283	0.1206409951
284	0.1205870255
285	0.1205091955
286	0.1204664947
287	0.120393767
288	0.1203168945
289	0.1202411673
290	0.1201547628
291	0.1200673596
292	0.119986494
293	0.1199015312
294	0.1198241374
295	0.1197511772
296	0.1196727498
297	0.1195952847
298	0.1195159972
299	0.119441338
300	0.1193605671
