iter	RMSE
0	0.2079456601
1	0.2058035171
2	0.2037307158
3	0.2016786622
4	0.1996571551
5	0.1976167381
6	0.1956067708
7	0.1936837297
8	0.191757461
9	0.1899462082
10	0.1880486732
11	0.1861768063
12	0.1843445673
13	0.1825365509
14	0.1807667382
15	0.1790381778
16	0.1773366737
17	0.1756428155
18	0.1739653898
19	0.1723738022
20	0.1707566702
21	0.1691872836
22	0.1676021448
23	0.1660501274
24	0.1645371186
25	0.163033327
26	0.1615545112
27	0.1601114022
28	0.1586821618
29	0.1573183034
30	0.1559146762
31	0.154538471
32	0.153185936
33	0.1518509854
34	0.150550818
35	0.1492838409
36	0.1480260942
37	0.1468072213
38	0.145615049
39	0.1444283294
40	0.1432445368
41	0.1420791139
42	0.1409215556
43	0.1397899239
44	0.1386673423
45	0.1375979042
46	0.1365002983
47	0.1354449065
48	0.134418505
49	0.1333715264
50	0.1323760251
51	0.1313958594
52	0.1304161259
53	0.1294723823
54	0.1285146437
55	0.1275796316
56	0.1266369253
57	0.1257532189
58	0.1248763799
59	0.1240150366
60	0.1231504831
61	0.1223266221
62	0.1215124336
63	0.1206942486
64	0.1199182528
65	0.1191240628
66	0.1183472692
67	0.117600931
68	0.116864415
69	0.1161179466
70	0.1153990119
71	0.1146839237
72	0.1139817783
73	0.1132832486
74	0.1126143486
75	0.1119713412
76	0.1113146819
77	0.110663701
78	0.1100259698
79	0.1094016881
80	0.108793739
81	0.1082052052
82	0.1076429423
83	0.1070787866
84	0.1065164295
85	0.1059589395
86	0.1053994775
87	0.1048566509
88	0.1043186658
89	0.1038001628
90	0.1032859008
91	0.1027886499
92	0.10229799
93	0.1017991182
94	0.101303987
95	0.1008322566
96	0.1003664857
97	0.09990892003
98	0.09947774915
99	0.09905227473
100	0.09862419102
101	0.09821304064
102	0.09779838775
103	0.09736222267
104	0.0969590683
105	0.09656262314
106	0.09617672171
107	0.0957949879
108	0.09541998402
109	0.09505485803
110	0.09468976749
111	0.09430968532
112	0.09396565157
113	0.09361573759
114	0.09325819736
115	0.09293988753
116	0.09260026429
117	0.09228120344
118	0.0919588815
119	0.09165146104
120	0.0913566388
121	0.0910708005
122	0.09079889269
123	0.09050429852
124	0.09023294488
125	0.08995444875
126	0.08968195774
127	0.08939463973
128	0.0891501686
129	0.0888805379
130	0.08862235694
131	0.08837982178
132	0.08814890537
133	0.08791007959
134	0.08766193741
135	0.08741582168
136	0.087180904
137	0.08693889106
138	0.0867086286
139	0.08650471949
140	0.08628471037
141	0.0860727668
142	0.08587506503
143	0.08566936402
144	0.08547081319
145	0.08527171878
146	0.08506498755
147	0.08485801471
148	0.08465883131
149	0.08449945078
150	0.08431968806
151	0.08414792985
152	0.08397428435
153	0.08379186405
154	0.08361248053
155	0.08345961333
156	0.08328910692
157	0.08310854153
158	0.08295631703
159	0.08279742188
160	0.08262247233
161	0.08245663734
162	0.08231018254
163	0.08216288797
164	0.08200815477
165	0.08187123683
166	0.08173025961
167	0.08158418603
168	0.08145323678
169	0.08131747703
170	0.08116447243
171	0.08103837406
172	0.08090199374
173	0.0807652523
174	0.08063193108
175	0.08050681625
176	0.08037694938
177	0.0802550533
178	0.08013676577
179	0.08002271619
180	0.07990629754
181	0.07979560717
182	0.07967822727
183	0.07956700204
184	0.07944903758
185	0.07933666291
186	0.07922529552
187	0.07911626692
188	0.07901302846
189	0.07889915718
190	0.07877676042
191	0.07867322041
192	0.07857208397
193	0.07847800377
194	0.07837650669
195	0.07827761889
196	0.0781977001
197	0.07811445522
198	0.07800789359
199	0.07792535361
200	0.07783374001
201	0.07772849355
202	0.07765161246
203	0.07756558771
204	0.0774557725
205	0.07737101403
206	0.07728131455
207	0.07718864439
208	0.07710693844
209	0.07700957674
210	0.07692668513
211	0.0768402557
212	0.07674787072
213	0.07667154799
214	0.07659022248
215	0.07649973702
216	0.07641778284
217	0.07634522588
218	0.07627938069
219	0.0762145385
220	0.07613688736
221	0.07606435126
222	0.07598688766
223	0.07591792898
224	0.07584354138
225	0.07578530957
226	0.07571526414
227	0.07565320655
228	0.07559057887
229	0.0755312015
230	0.07545369632
231	0.07538591221
232	0.07532774507
233	0.07526841297
234	0.07522172489
235	0.07515141304
236	0.07508562787
237	0.07502830504
238	0.07496819861
239	0.07490183586
240	0.07484872487
241	0.07478833209
242	0.07473277973
243	0.07466877203
244	0.07460281567
245	0.07453556246
246	0.07447261008
247	0.07441830715
248	0.07435472152
249	0.07430023427
250	0.07425525424
251	0.07420253674
252	0.07414653244
253	0.07410703682
254	0.07404661143
255	0.07399263546
256	0.0739402473
257	0.07388603611
258	0.07383318368
259	0.07378918942
260	0.07371824139
261	0.07366079277
262	0.07359821095
263	0.07355123709
264	0.07350300307
265	0.07346597113
266	0.07342199849
267	0.07337585064
268	0.07332651364
269	0.07325296817
270	0.07320308713
271	0.07315473426
272	0.07311096297
273	0.07305819105
274	0.07300470564
275	0.07295389776
276	0.07290750671
277	0.07285779168
278	0.07281887581
279	0.0727832202
280	0.07273048291
281	0.07268422887
282	0.07263587648
283	0.0725888934
284	0.07253967461
285	0.07247675336
286	0.07243310305
287	0.07238381885
288	0.07234002109
289	0.07229988314
290	0.07225429836
291	0.07221286869
292	0.07217443776
293	0.07213350024
294	0.07209412401
295	0.07204847367
296	0.0719895199
297	0.07193135634
298	0.07190162761
299	0.07186237375
300	0.07181311849
301	0.07176253074
302	0.07171600117
303	0.07168421178
304	0.07164750038
305	0.0715951088
306	0.07155548792
307	0.07152114856
308	0.07149328548
309	0.07146008959
310	0.07140565183
311	0.07135751339
312	0.07132100913
313	0.07128146877
314	0.0712432758
315	0.07120278482
316	0.07117380208
317	0.07113824062
318	0.07109223544
319	0.07105377514
320	0.07101612797
321	0.07098158163
322	0.07094480463
323	0.07091860916
324	0.07088775153
325	0.07084570361
326	0.07081404309
327	0.07077832033
328	0.07073921947
329	0.07069927106
330	0.07067378333
331	0.07065778065
332	0.07063661613
333	0.07060693386
334	0.07057279503
335	0.07053952678
336	0.07050755261
337	0.07047418693
338	0.07044920219
339	0.07041356257
340	0.07038150905
341	0.07034959639
342	0.070322404
343	0.07028110066
344	0.07025020796
345	0.07020698125
346	0.0701687983
347	0.0701407629
348	0.07009954091
349	0.07006033186
350	0.07003333611
351	0.06998999287
352	0.06996298693
353	0.06993941497
354	0.06989592983
355	0.06986005098
356	0.06983569029
357	0.06979234056
358	0.06976077933
359	0.06972546404
360	0.06969866511
361	0.06966095497
362	0.06964332322
363	0.06960425946
364	0.06957655749
365	0.06956015252
366	0.06953618448
367	0.06951860729
368	0.06947800522
369	0.06944962842
370	0.0694235078
371	0.06938760136
372	0.06936043017
373	0.06932498746
374	0.06928668169
375	0.06924672908
376	0.06920831766
377	0.06917787559
378	0.06915657292
379	0.06911317068
380	0.0690760538
381	0.0690463695
382	0.06900931466
383	0.06897934791
384	0.06894865564
385	0.06891998604
386	0.0688853879
387	0.06885653573
388	0.06882567082
389	0.06878443374
390	0.06876383654
391	0.06872929763
392	0.06869656771
393	0.06866669769
394	0.06863392723
395	0.06860510737
396	0.06856551377
397	0.06854146848
398	0.06851552503
399	0.06849989929
400	0.06847843563
401	0.06846632958
402	0.0684364289
403	0.06840336323
404	0.06837216959
405	0.06834157356
406	0.06830854124
407	0.06827599226
408	0.06824818704
409	0.06822139301
410	0.0681932891
411	0.06816749808
412	0.068151307
413	0.06812845561
414	0.06810062477
415	0.06806934454
416	0.0680453491
417	0.06802903782
418	0.06800552029
419	0.06798313378
420	0.06796461966
421	0.06793077827
422	0.06789738554
423	0.06787060744
424	0.06784905238
425	0.06782029697
426	0.06779386865
427	0.06777728507
428	0.06774040222
429	0.06770900781
430	0.06767708162
431	0.06764814397
432	0.0676260826
433	0.06759024435
434	0.06756033984
435	0.06752960673
436	0.06750670957
437	0.06748894104
438	0.06746839982
439	0.06744330042
440	0.06740980909
441	0.06739691858
442	0.06737543119
443	0.06735241499
444	0.06733901473
445	0.06730903353
446	0.06728136112
447	0.06724640457
448	0.06721294529
449	0.0671878016
450	0.06715600306
451	0.06713254232
452	0.06709992398
453	0.06708234834
454	0.06705778052
455	0.06704130052
456	0.06702667738
457	0.06700343352
458	0.06697880382
459	0.06694938431
460	0.06693871047
461	0.06690530545
462	0.06690169146
463	0.0668570638
464	0.06683280551
465	0.06680451001
466	0.06679300005
467	0.06676019066
468	0.06673879686
469	0.0667249723
470	0.06669162949
471	0.06667024747
472	0.06665367253
473	0.06663130771
474	0.06659856119
475	0.06656434148
476	0.06654046449
477	0.06651922282
478	0.06649774221
479	0.06647199266
480	0.06644556757
481	0.06642987902
482	0.06641458009
483	0.06639762103
484	0.06636887469
485	0.06634084655
486	0.0663205126
487	0.06628981118
488	0.06627303872
489	0.06624801893
490	0.0662232841
491	0.06620141206
492	0.06618004263
493	0.0661605461
494	0.06614049716
495	0.06612136773
496	0.06609548771
497	0.0660596973
498	0.0660261382
499	0.06600971495
500	0.06598486535
501	0.06596075671
502	0.06592694572
503	0.0658970743
504	0.06586429908
505	0.06585088229
506	0.06583128247
507	0.06580795999
508	0.06578995018
509	0.06575940491
510	0.06574215277
511	0.06573123403
512	0.0656954952
513	0.06568061539
514	0.06564673404
515	0.06561900461
516	0.06559726301
517	0.06557394184
518	0.06555957424
519	0.06553857581
520	0.06551858612
521	0.06549433479
522	0.0654585
523	0.06544717215
524	0.06541895458
525	0.06540280539
526	0.06537412509
527	0.06534397218
528	0.06532026038
