iter	Passed	Remaining
0	73	80288
1	132	72481
2	221	81020
3	280	76775
4	350	76838
5	411	75028
6	466	72813
7	521	71122
8	571	69338
9	620	67673
10	672	66534
11	725	65775
12	777	65049
13	830	64410
14	882	63817
15	932	63179
16	981	62499
17	1034	62212
18	1089	62005
19	1145	61855
20	1199	61656
21	1251	61321
22	1304	61072
23	1355	60767
24	1416	60921
25	1475	60935
26	1524	60588
27	1578	60424
28	1624	60003
29	1678	59883
30	1736	59870
31	1794	59889
32	1854	59952
33	1906	59761
34	1955	59508
35	2007	59344
36	2057	59114
37	2111	59019
38	2166	58938
39	2220	58840
40	2273	58730
41	2325	58570
42	2382	58553
43	2440	58577
44	2494	58493
45	2550	58432
46	2608	58444
47	2665	58414
48	2724	58447
49	2772	58229
50	2831	58231
51	2886	58166
52	2933	57953
53	2986	57845
54	3045	57861
55	3093	57677
56	3146	57567
57	3202	57532
58	3256	57454
59	3314	57458
60	3367	57361
61	3427	57387
62	3484	57353
63	3539	57295
64	3593	57219
65	3652	57226
66	3710	57212
67	3763	57116
68	3817	57046
69	3871	56963
70	3925	56890
71	3980	56825
72	4035	56771
73	4090	56714
74	4142	56609
75	4198	56569
76	4255	56535
77	4310	56476
78	4369	56469
79	4423	56397
80	4472	56271
81	4530	56250
82	4583	56156
83	4638	56103
84	4696	56077
85	4755	56064
86	4809	55997
87	4863	55926
88	4921	55907
89	4971	55794
90	5027	55742
91	5086	55728
92	5141	55672
93	5195	55601
94	5249	55533
95	5303	55466
96	5361	55443
97	5421	55431
98	5479	55407
99	5537	55370
100	5594	55335
101	5649	55279
102	5706	55232
103	5763	55195
104	5818	55133
105	5868	55030
106	5914	54891
107	5972	54862
108	6027	54804
109	6086	54782
110	6139	54706
111	6193	54637
112	6244	54544
113	6300	54496
114	6356	54442
115	6409	54371
116	6461	54289
117	6514	54210
118	6563	54107
119	6621	54074
120	6668	53957
121	6727	53927
122	6784	53890
123	6839	53833
124	6897	53798
125	6950	53728
126	7005	53669
127	7063	53640
128	7115	53556
129	7162	53441
130	7209	53325
131	7265	53279
132	7317	53205
133	7369	53129
134	7421	53049
135	7479	53015
136	7531	52942
137	7585	52878
138	7641	52828
139	7694	52759
140	7748	52698
141	7801	52629
142	7861	52610
143	7914	52545
144	7970	52496
145	8024	52431
146	8076	52362
147	8131	52307
148	8187	52257
149	8238	52174
150	8292	52114
151	8350	52078
152	8411	52062
153	8460	51971
154	8519	51944
155	8571	51869
156	8626	51811
157	8687	51795
158	8743	51744
159	8801	51709
160	8858	51667
161	8911	51601
162	8958	51500
163	9009	51422
164	9069	51393
165	9121	51321
166	9174	51254
167	9229	51201
168	9285	51153
169	9331	51047
170	9384	50985
171	9440	50935
172	9493	50868
173	9541	50778
174	9598	50733
175	9655	50692
176	9716	50669
177	9766	50587
178	9815	50501
179	9876	50480
180	9932	50428
181	9984	50363
182	10035	50286
183	10090	50234
184	10146	50185
185	10207	50161
186	10259	50088
187	10312	50024
188	10364	49957
189	10415	49885
190	10472	49840
191	10526	49781
192	10579	49718
193	10637	49677
194	10688	49605
195	10746	49566
196	10804	49522
197	10865	49499
198	10920	49443
199	10975	49388
200	11028	49325
201	11084	49275
202	11133	49193
203	11188	49143
204	11250	49117
205	11302	49048
206	11360	49010
207	11420	48974
208	11473	48912
209	11525	48847
210	11582	48800
211	11638	48748
212	11691	48688
213	11741	48610
214	11794	48550
215	11849	48494
216	11906	48448
217	11960	48390
218	12017	48344
219	12064	48258
220	12117	48197
221	12173	48143
222	12232	48106
223	12287	48052
224	12346	48013
225	12396	47939
226	12450	47882
227	12505	47829
228	12559	47769
229	12608	47694
230	12659	47622
231	12714	47571
232	12766	47506
233	12819	47442
234	12863	47348
235	12914	47280
236	12970	47230
237	13021	47163
238	13075	47105
239	13133	47063
240	13186	47002
241	13238	46938
242	13288	46864
243	13342	46808
244	13399	46760
245	13452	46699
246	13507	46648
247	13557	46575
248	13618	46542
249	13677	46502
250	13735	46461
251	13791	46408
252	13842	46342
253	13894	46279
254	13953	46238
255	14006	46179
256	14057	46109
257	14116	46071
258	14170	46012
259	14226	45963
260	14284	45919
261	14338	45861
262	14391	45800
263	14441	45731
264	14502	45696
265	14557	45641
266	14607	45572
267	14655	45498
268	14701	45415
269	14756	45363
270	14814	45316
271	14860	45235
272	14906	45155
273	14967	45122
274	15023	45069
275	15077	45014
276	15132	44959
277	15179	44884
278	15230	44817
279	15276	44738
280	15331	44684
281	15391	44647
282	15443	44584
283	15494	44520
284	15554	44479
285	15607	44421
286	15659	44360
287	15714	44307
288	15768	44249
289	15819	44184
290	15871	44122
291	15923	44063
292	15974	43999
293	16032	43952
294	16091	43911
295	16146	43857
296	16205	43814
297	16261	43765
298	16310	43693
299	16357	43619
300	16404	43546
301	16461	43498
302	16517	43446
303	16568	43383
304	16619	43319
305	16669	43253
306	16717	43181
307	16769	43122
308	16822	43062
309	16870	42993
310	16924	42937
311	16979	42885
312	17038	42841
313	17095	42792
314	17146	42730
315	17199	42672
316	17258	42628
317	17309	42565
318	17363	42509
319	17418	42457
320	17470	42397
321	17531	42357
322	17578	42286
323	17623	42210
324	17673	42144
325	17719	42070
326	17764	41993
327	17817	41936
328	17871	41881
329	17923	41822
330	17973	41756
331	18019	41684
332	18067	41614
333	18115	41546
334	18164	41480
335	18219	41427
336	18266	41358
337	18319	41301
338	18373	41245
339	18425	41186
340	18488	41151
341	18540	41092
342	18590	41028
343	18648	40982
344	18698	40920
345	18747	40854
346	18803	40803
347	18860	40756
348	18910	40693
349	18965	40639
350	19022	40592
351	19078	40541
352	19126	40475
353	19181	40421
354	19241	40380
355	19298	40332
356	19351	40275
357	19403	40216
358	19458	40162
359	19505	40095
360	19553	40027
361	19606	39971
362	19662	39920
363	19716	39867
364	19769	39810
365	19810	39728
366	19855	39656
367	19903	39591
368	19957	39536
369	20007	39473
370	20054	39406
371	20109	39353
372	20151	39277
373	20207	39225
374	20260	39169
375	20309	39105
376	20365	39057
377	20412	38989
378	20460	38923
379	20511	38863
380	20566	38811
381	20625	38766
382	20682	38718
383	20736	38665
384	20789	38609
385	20836	38541
386	20887	38482
387	20935	38418
388	20991	38367
389	21046	38315
390	21094	38250
391	21151	38202
392	21203	38144
393	21258	38092
394	21307	38030
395	21356	37966
396	21415	37921
397	21468	37867
398	21511	37794
399	21560	37730
400	21609	37668
401	21652	37594
402	21709	37546
403	21768	37501
