iter	Passed	Remaining
0	99	84915
1	159	67913
2	199	56546
3	227	48319
4	261	44404
5	293	41456
6	330	39949
7	368	38977
8	402	37811
9	437	36946
10	469	35953
11	503	35339
12	539	34893
13	568	34134
14	603	33745
15	633	33168
16	669	32946
17	702	32622
18	736	32363
19	770	32110
20	798	31688
21	833	31505
22	865	31283
23	894	30946
24	929	30808
25	961	30629
26	995	30481
27	1032	30452
28	1062	30235
29	1096	30118
30	1130	30013
31	1162	29862
32	1200	29866
33	1228	29624
34	1260	29500
35	1292	29375
36	1325	29266
37	1357	29153
38	1389	29037
39	1420	28908
40	1448	28728
41	1482	28660
42	1515	28592
43	1549	28529
44	1580	28422
45	1612	28318
46	1645	28247
47	1678	28180
48	1712	28133
49	1742	28026
50	1777	27981
51	1809	27902
52	1843	27861
53	1876	27805
54	1912	27780
55	1945	27720
56	1977	27652
57	2006	27532
58	2039	27486
59	2071	27418
60	2102	27326
61	2133	27259
62	2166	27202
63	2201	27173
64	2232	27096
65	2264	27040
66	2295	26959
67	2329	26925
68	2358	26834
69	2387	26737
70	2420	26693
71	2451	26630
72	2484	26578
73	2520	26562
74	2551	26499
75	2585	26469
76	2621	26449
77	2656	26425
78	2685	26349
79	2716	26280
80	2746	26209
81	2781	26183
82	2813	26136
83	2840	26039
84	2872	25989
85	2904	25936
86	2932	25852
87	2961	25780
88	2991	25710
89	3024	25677
90	3053	25605
91	3087	25568
92	3118	25514
93	3150	25471
94	3182	25423
95	3215	25390
96	3247	25347
97	3278	25291
98	3306	25216
99	3333	25132
100	3362	25071
101	3397	25045
102	3455	25198
103	3490	25173
104	3521	25118
105	3552	25067
106	3584	25025
107	3619	24998
108	3652	24961
109	3685	24929
110	3715	24873
111	3743	24803
112	3773	24746
113	3805	24705
114	3838	24668
115	3866	24596
116	3899	24562
117	3933	24534
118	3963	24482
119	3995	24439
120	4031	24422
121	4064	24385
122	4096	24343
123	4129	24308
124	4159	24260
125	4191	24218
126	4222	24173
127	4259	24158
128	4288	24104
129	4322	24071
130	4355	24036
131	4382	23969
132	4414	23928
133	4461	23972
134	4492	23928
135	4522	23875
136	4553	23829
137	4589	23812
138	4626	23796
139	4687	23905
140	4727	23905
141	4757	23852
142	4788	23809
143	4826	23798
144	4858	23758
145	4894	23732
146	4925	23687
147	4954	23635
148	4989	23605
149	5022	23573
150	5054	23533
151	5087	23497
152	5124	23480
153	5164	23473
154	5246	23659
155	5280	23627
156	5308	23567
157	5340	23525
158	5372	23484
159	5404	23440
160	5447	23445
161	5481	23414
162	5513	23372
163	5546	23337
164	5577	23292
165	5609	23249
166	5640	23203
167	5672	23162
168	5706	23131
169	5737	23085
170	5771	23053
171	5801	23001
172	5833	22963
173	5867	22929
174	5902	22900
175	5935	22866
176	5968	22826
177	5997	22777
178	6031	22743
179	6063	22702
180	6096	22667
181	6128	22629
182	6159	22584
183	6194	22555
184	6227	22519
185	6258	22476
186	6289	22433
187	6321	22395
188	6356	22365
189	6391	22337
190	6428	22314
191	6459	22272
192	6494	22243
193	6530	22217
194	6563	22180
195	6595	22142
196	6628	22105
197	6660	22067
198	6694	22034
199	6726	21996
200	6760	21964
201	6797	21939
202	6828	21897
203	6859	21856
204	6894	21828
205	6927	21791
206	6960	21756
207	6994	21723
208	7031	21699
